    Water depth[m]  Thickness[mm]
0          1600.00          15.14
1          1601.01          15.14
2          1602.02          15.14
3          1603.03          15.14
4          1604.04          15.14
5          1605.05          15.14
6          1606.06          15.14
7          1607.07          15.13
8          1608.08          15.13
9          1609.09          15.13
10         1610.10          15.13
11         1611.11          15.13
12         1612.12          15.13
13         1613.13          15.13
14         1614.14          15.12
15         1615.15          15.12
16         1616.16          15.12
17         1617.17          15.12
18         1618.18          15.12
19         1619.19          15.12
20         1620.20          15.12
21         1621.21          15.11
22         1622.22          15.11
23         1623.23          15.11
24         1624.24          15.11
25         1625.25          15.11
26         1626.26          15.11
27         1627.27          15.11
28         1628.28          15.10
29         1629.29          15.10
30         1630.30          15.10
31         1631.31          15.10
32         1632.32          15.10
33         1633.33          15.10
34         1634.34          15.09
35         1635.35          15.09
36         1636.36          15.09
37         1637.37          15.09
38         1638.38          15.09
39         1639.39          15.09
40         1640.40          15.09
41         1641.41          15.08
42         1642.42          15.08
43         1643.43          15.08
44         1644.44          15.08
45         1645.45          15.08
46         1646.46          15.08
47         1647.47          15.08
48         1648.48          15.07
49         1649.49          15.07
50         1650.51          15.07
51         1651.52          15.07
52         1652.53          15.07
53         1653.54          15.07
54         1654.55          15.07
55         1655.56          15.06
56         1656.57          15.06
57         1657.58          15.06
58         1658.59          15.06
59         1659.60          15.06
60         1660.61          15.06
61         1661.62          15.06
62         1662.63          15.05
63         1663.64          15.05
64         1664.65          15.05
65         1665.66          15.05
66         1666.67          15.05
67         1667.68          15.05
68         1668.69          15.05
69         1669.70          15.04
70         1670.71          15.04
71         1671.72          15.04
72         1672.73          15.04
73         1673.74          15.04
74         1674.75          15.04
75         1675.76          15.04
76         1676.77          15.03
77         1677.78          15.03
78         1678.79          15.03
79         1679.80          15.03
80         1680.81          15.03
81         1681.82          15.03
82         1682.83          15.03
83         1683.84          15.02
84         1684.85          15.02
85         1685.86          15.02
86         1686.87          15.02
87         1687.88          15.02
88         1688.89          15.02
89         1689.90          15.01
90         1690.91          15.01
91         1691.92          15.01
92         1692.93          15.01
93         1693.94          15.01
94         1694.95          15.01
95         1695.96          15.01
96         1696.97          15.00
97         1697.98          15.00
98         1698.99          15.00
99         1700.00          15.00
